Race,Populatioin,State,County
All races,33610,Georgia,Lumpkin
White alone,31828,Georgia,Lumpkin
Black alone,585,Georgia,Lumpkin
American Indian and Alaska Native alone,257,Georgia,Lumpkin
Asian alone,268,Georgia,Lumpkin
Native Hawaiian and Other Pacific Islander alone,50,Georgia,Lumpkin
Two or more races,622,Georgia,Lumpkin
White alone or in combination,32391,Georgia,Lumpkin
Black alone or in combination,843,Georgia,Lumpkin
American Indian and Alaska Native alone or in combination,567,Georgia,Lumpkin
Asian alone or in combination,401,Georgia,Lumpkin
Native Hawaiian and Other Pacific Islander alone or in combination,76,Georgia,Lumpkin
All races,21312,Georgia,McDuffie
White alone,11858,Georgia,McDuffie
Black alone,8846,Georgia,McDuffie
American Indian and Alaska Native alone,92,Georgia,McDuffie
Asian alone,103,Georgia,McDuffie
Native Hawaiian and Other Pacific Islander alone,20,Georgia,McDuffie
Two or more races,393,Georgia,McDuffie
White alone or in combination,12218,Georgia,McDuffie
Black alone or in combination,9128,Georgia,McDuffie
American Indian and Alaska Native alone or in combination,190,Georgia,McDuffie
Asian alone or in combination,150,Georgia,McDuffie
Native Hawaiian and Other Pacific Islander alone or in combination,35,Georgia,McDuffie
Native Hawaiian and Other Pacific Islander alone,2,Georgia,Miller
All races,5718,Georgia,Miller
White alone,3942,Georgia,Miller
Black alone,1617,Georgia,Miller
American Indian and Alaska Native alone,27,Georgia,Miller
Asian alone,36,Georgia,Miller
Two or more races,94,Georgia,Miller
White alone or in combination,4025,Georgia,Miller
Black alone or in combination,1676,Georgia,Miller
American Indian and Alaska Native alone or in combination,63,Georgia,Miller
Asian alone or in combination,44,Georgia,Miller
Native Hawaiian and Other Pacific Islander alone or in combination,5,Georgia,Miller
American Indian and Alaska Native alone,43,Georgia,Bacon
All races,11164,Georgia,Bacon
White alone,9009,Georgia,Bacon
Black alone,1810,Georgia,Bacon
Asian alone,85,Georgia,Bacon
Native Hawaiian and Other Pacific Islander alone,20,Georgia,Bacon
Two or more races,197,Georgia,Bacon
Two or more races,22937,Georgia,Fulton
All races,1063937,Georgia,Fulton
White alone,483838,Georgia,Fulton
Black alone,473020,Georgia,Fulton
American Indian and Alaska Native alone,2910,Georgia,Fulton
Asian alone,80896,Georgia,Fulton
Native Hawaiian and Other Pacific Islander alone,336,Georgia,Fulton
White alone or in combination,501927,Georgia,Fulton
Black alone or in combination,487400,Georgia,Fulton
American Indian and Alaska Native alone or in combination,9133,Georgia,Fulton
Asian alone or in combination,89918,Georgia,Fulton
Native Hawaiian and Other Pacific Islander alone or in combination,1329,Georgia,Fulton
White alone or in combination,9199,Georgia,Bacon
Black alone or in combination,1962,Georgia,Bacon
American Indian and Alaska Native alone or in combination,81,Georgia,Bacon
Asian alone or in combination,101,Georgia,Bacon
Native Hawaiian and Other Pacific Islander alone or in combination,23,Georgia,Bacon
American Indian and Alaska Native alone,128,Georgia,Morgan
All races,19276,Georgia,Morgan
White alone,14497,Georgia,Morgan
Black alone,4207,Georgia,Morgan
Asian alone,131,Georgia,Morgan
Native Hawaiian and Other Pacific Islander alone,7,Georgia,Morgan
Two or more races,306,Georgia,Morgan
White alone or in combination,14765,Georgia,Morgan
Native Hawaiian and Other Pacific Islander alone or in combination,22,Georgia,Morgan
Black alone or in combination,4392,Georgia,Morgan
American Indian and Alaska Native alone or in combination,240,Georgia,Morgan
Asian alone or in combination,180,Georgia,Morgan
Native Hawaiian and Other Pacific Islander alone,116,Georgia,Murray
All races,40096,Georgia,Murray
White alone,38352,Georgia,Murray
Black alone,497,Georgia,Murray
American Indian and Alaska Native alone,403,Georgia,Murray
Asian alone,213,Georgia,Murray
Two or more races,515,Georgia,Murray
White alone or in combination,38804,Georgia,Murray
Black alone or in combination,763,Georgia,Murray
American Indian and Alaska Native alone or in combination,630,Georgia,Murray
Asian alone or in combination,288,Georgia,Murray
Native Hawaiian and Other Pacific Islander alone or in combination,144,Georgia,Murray
American Indian and Alaska Native alone,61,Georgia,Heard
All races,11923,Georgia,Heard
White alone,10362,Georgia,Heard
Black alone,1164,Georgia,Heard
Asian alone,65,Georgia,Heard
Native Hawaiian and Other Pacific Islander alone,2,Georgia,Heard
Two or more races,269,Georgia,Heard
White alone or in combination,10617,Georgia,Heard
Black alone or in combination,1323,Georgia,Heard
American Indian and Alaska Native alone or in combination,160,Georgia,Heard
Asian alone or in combination,97,Georgia,Heard
Native Hawaiian and Other Pacific Islander alone or in combination,6,Georgia,Heard
American Indian and Alaska Native alone,55,Georgia,Hart
All races,26205,Georgia,Hart
White alone,20400,Georgia,Hart
Black alone,5003,Georgia,Hart
Asian alone,302,Georgia,Hart
Native Hawaiian and Other Pacific Islander alone,9,Georgia,Hart
Two or more races,436,Georgia,Hart
White alone or in combination,20805,Georgia,Hart
Black alone or in combination,5328,Georgia,Hart
American Indian and Alaska Native alone or in combination,165,Georgia,Hart
Asian alone or in combination,349,Georgia,Hart
Native Hawaiian and Other Pacific Islander alone or in combination,15,Georgia,Hart
Asian alone,1354,Georgia,Newton
All races,40280,Georgia,Oconee
White alone,35535,Georgia,Oconee
All races,111744,Georgia,Newton
White alone,53951,Georgia,Newton
Black alone,53322,Georgia,Newton
American Indian and Alaska Native alone,538,Georgia,Newton
Native Hawaiian and Other Pacific Islander alone,121,Georgia,Newton
Two or more races,2458,Georgia,Newton
White alone or in combination,56085,Georgia,Newton
Black alone or in combination,55048,Georgia,Newton
American Indian and Alaska Native alone or in combination,1213,Georgia,Newton
Asian alone or in combination,1850,Georgia,Newton
Black alone,2089,Georgia,Oconee
American Indian and Alaska Native alone,123,Georgia,Oconee
Asian alone,1684,Georgia,Oconee
Native Hawaiian and Other Pacific Islander alone,26,Georgia,Oconee
Two or more races,823,Georgia,Oconee
White alone or in combination,36274,Georgia,Oconee
Black alone or in combination,2479,Georgia,Oconee
American Indian and Alaska Native alone or in combination,353,Georgia,Oconee
Asian alone or in combination,1991,Georgia,Oconee
Two or more races,1173,Georgia,Dougherty
Native Hawaiian and Other Pacific Islander alone or in combination,257,Georgia,Newton
Native Hawaiian and Other Pacific Islander alone or in combination,73,Georgia,Oconee
All races,87956,Georgia,Dougherty
White alone,23093,Georgia,Dougherty
Black alone,62425,Georgia,Dougherty
American Indian and Alaska Native alone,255,Georgia,Dougherty
Asian alone,821,Georgia,Dougherty
Native Hawaiian and Other Pacific Islander alone,189,Georgia,Dougherty
White alone or in combination,23999,Georgia,Dougherty
Black alone or in combination,63232,Georgia,Dougherty
American Indian and Alaska Native alone or in combination,603,Georgia,Dougherty
