geoName,geoCode,value,topic,date
Albany GA,525,0,Housing,2020-02-01
Atlanta GA,524,63,Housing,2020-02-01
Augusta GA,520,87,Housing,2020-02-01
Chattanooga TN,575,30,Housing,2020-02-01
Columbus GA,522,53,Housing,2020-02-01
Dothan AL,606,0,Housing,2020-02-01
Jacksonville FL,561,0,Housing,2020-02-01
Macon GA,503,100,Housing,2020-02-01
Savannah GA,507,58,Housing,2020-02-01
Tallahassee FL-Thomasville GA,530,0,Housing,2020-02-01
Albany GA,525,100,Housing,2020-02-02
Atlanta GA,524,26,Housing,2020-02-02
Augusta GA,520,15,Housing,2020-02-02
Chattanooga TN,575,11,Housing,2020-02-02
Columbus GA,522,0,Housing,2020-02-02
Dothan AL,606,0,Housing,2020-02-02
Jacksonville FL,561,14,Housing,2020-02-02
Macon GA,503,71,Housing,2020-02-02
Savannah GA,507,20,Housing,2020-02-02
Tallahassee FL-Thomasville GA,530,38,Housing,2020-02-02
Albany GA,525,100,Housing,2020-02-03
Atlanta GA,524,27,Housing,2020-02-03
Augusta GA,520,22,Housing,2020-02-03
Chattanooga TN,575,0,Housing,2020-02-03
Columbus GA,522,13,Housing,2020-02-03
Dothan AL,606,0,Housing,2020-02-03
Jacksonville FL,561,4,Housing,2020-02-03
Macon GA,503,92,Housing,2020-02-03
Savannah GA,507,15,Housing,2020-02-03
Tallahassee FL-Thomasville GA,530,19,Housing,2020-02-03
Albany GA,525,100,Housing,2020-02-04
Atlanta GA,524,18,Housing,2020-02-04
Augusta GA,520,24,Housing,2020-02-04
Chattanooga TN,575,4,Housing,2020-02-04
Columbus GA,522,13,Housing,2020-02-04
Dothan AL,606,0,Housing,2020-02-04
Jacksonville FL,561,0,Housing,2020-02-04
Macon GA,503,27,Housing,2020-02-04
Savannah GA,507,12,Housing,2020-02-04
Tallahassee FL-Thomasville GA,530,10,Housing,2020-02-04
Albany GA,525,100,Housing,2020-02-05
Atlanta GA,524,20,Housing,2020-02-05
Augusta GA,520,18,Housing,2020-02-05
Chattanooga TN,575,6,Housing,2020-02-05
Columbus GA,522,10,Housing,2020-02-05
Dothan AL,606,0,Housing,2020-02-05
Jacksonville FL,561,9,Housing,2020-02-05
Macon GA,503,32,Housing,2020-02-05
Savannah GA,507,19,Housing,2020-02-05
Tallahassee FL-Thomasville GA,530,15,Housing,2020-02-05
Albany GA,525,100,Housing,2020-02-06
Atlanta GA,524,82,Housing,2020-02-06
Augusta GA,520,47,Housing,2020-02-06
Chattanooga TN,575,0,Housing,2020-02-06
Columbus GA,522,53,Housing,2020-02-06
Dothan AL,606,0,Housing,2020-02-06
Jacksonville FL,561,0,Housing,2020-02-06
Macon GA,503,0,Housing,2020-02-06
Savannah GA,507,99,Housing,2020-02-06
Tallahassee FL-Thomasville GA,530,0,Housing,2020-02-06
Albany GA,525,0,Housing,2020-02-07
Atlanta GA,524,74,Housing,2020-02-07
Augusta GA,520,100,Housing,2020-02-07
Chattanooga TN,575,0,Housing,2020-02-07
Columbus GA,522,40,Housing,2020-02-07
Dothan AL,606,0,Housing,2020-02-07
Jacksonville FL,561,0,Housing,2020-02-07
Macon GA,503,39,Housing,2020-02-07
Savannah GA,507,93,Housing,2020-02-07
Tallahassee FL-Thomasville GA,530,29,Housing,2020-02-07
